filename,emotion,emotion_intensity,statement,repretition,actor_id,gender_int,Average fundamental frequency in voiced segments,Standard deviation of fundamental frequency in Hz,Variablity of fundamental frequency in semitones,Maximum of the fundamental frequency in Hz,Average energy in dB,Standard deviation of energy in dB,Maximum energy,Voiced rate (number of voiced segments per second),Average duration of voiced segments,Standard deviation of duration of voiced segments,Pause rate (number of pauses per second),Average duration of pauses,Standard deviation of duration of pauses ,Average tilt of fundamental frequency,Tilt regularity of fundamental frequency,Mean square error of the reconstructed F0 with a 1-degree polynomial,(Silence duration)/(Voiced+Unvoiced durations),(Voiced duration)/(Unvoiced durations),(Unvoiced duration)/(Voiced+Unvoiced durations),(Voiced duration)/(Voiced+Unvoiced durations),(Voiced duration)/(Silence durations),(Unvoiced duration)/(Silence durations),Unvoiced duration Regularity,Unvoiced energy Regularity,Voiced duration Regularity,Voiced energy Regularity,Pause duration Regularity,Maximum duration of voiced segments,Maximum duration of unvoiced segments,Minimum duration of voiced segments,Minimum duration of unvoiced segments,rate (# of voiced segments) / (# of unvoiced segments),Average tilt of energy contour,Regression coefficient between the energy contour and a linear regression,Mean square error of the reconstructed energy contour with a 1-degree polynomial,Regression coefficient between the F0 contour and a linear regression,Average Delta energy within consecutive voiced segments,Standard deviation of Delta energy within consecutive voiced segments
03-01-07-02-02-01-02,7,2,2,1,2,0,2.366379699707031250e+02,2.260618400573730469e+01,6.359117726441678542e+01,2.800643310546875000e+02,-4.941444000125979130e+01,3.815628169378477708e+01,-6.303965295594270657e+00,1.255580357142857206e+00,2.800000000000000000e+02,1.067707825203131051e+02,1.674107142857142794e+00,3.425000000000000000e+02,4.014582792769380148e+02,1.225665476612096752e-02,4.058118410388251718e+00,7.953660840701681423e+01,1.090090090090090280e+00,7.538461538461538325e+00,1.171171171171171282e-01,8.828828828828829689e-01,8.099173553719007934e-01,1.074380165289256228e-01,2.494438257849294210e-02,1.471869559437928021e-01,1.600371804062496039e+01,4.402490215799099715e+00,4.249999999999999889e-01,3.900000000000000133e-01,7.000000000000000666e-02,5.000000000000000278e-02,1.000000000000000021e-02,1.666666666666666741e+00,7.470042881370107801e-02,2.325447271319229792e-01,4.077651132402247640e+02,5.834240718158949512e-01,6.956254695439207936e+00,2.864055728066498219e+00
03-01-06-02-01-02-02,6,2,1,2,2,0,2.012571563720703125e+02,2.564040184020996094e+01,6.895201064938819968e+01,2.400461883544921875e+02,-4.533464945895482856e+01,2.987019731991225768e+01,-6.687460826176665485e+00,1.674107142857142794e+00,1.850000000000000000e+02,1.160818676624390093e+02,2.092633928571428381e+00,2.700000000000000000e+02,4.370354676682431432e+02,-9.127023124470063919e-01,1.303663594881675269e+00,1.533707582422120481e+02,9.579831932773110736e-01,4.949999999999999289e+00,1.680672268907563160e-01,8.319327731092437395e-01,8.684210526315788714e-01,1.754385964912280604e-01,5.338539126015656028e-02,1.775352077758099445e-01,1.000452228281203126e+01,1.620403108235244138e+00,0.000000000000000000e+00,5.500000000000000444e-01,1.400000000000000133e-01,1.000000000000000056e-01,1.000000000000000021e-02,1.000000000000000000e+00,4.713738155520166839e-01,6.831774378480552912e-01,7.129654845859995476e+02,7.067831899307336352e-01,1.965825784535173426e+00,1.884429525819975026e-01
03-01-06-01-02-02-02,6,1,2,2,2,0,2.471232452392578125e+02,7.640879821777343750e+01,1.097596881791299666e+02,3.466497192382812500e+02,-4.235713592780309256e+01,2.956597381794421153e+01,-8.972180493480891528e+00,1.255580357142857206e+00,2.800000000000000000e+02,2.084866102814918918e+02,1.674107142857142794e+00,3.400000000000000000e+02,4.057092555020158784e+02,2.284162592728374186e+00,1.073433512449407168e+01,1.265848442831772218e+03,7.923076923076922684e-01,3.814814814814814881e+00,2.076923076923077038e-01,7.923076923076922684e-01,1.000000000000000000e+00,2.621359223300970820e-01,5.117372372614680670e-02,2.083716631406487552e-01,1.400862606879206140e+01,2.862926520458425550e+00,0.000000000000000000e+00,5.999999999999999778e-01,1.400000000000000133e-01,8.000000000000000167e-02,1.000000000000000021e-02,1.000000000000000000e+00,-1.744012986864042769e-01,-4.465857999272251355e-01,2.346605078845346668e+02,6.619759761890737781e-01,4.987048758821368999e+00,2.789486127005900151e+00
03-01-02-01-02-02-02,2,1,2,2,2,0,2.330471649169921875e+02,2.535623359680175781e+01,6.856612885431667337e+01,2.900406799316406250e+02,-5.627650325440497170e+01,4.576678016612451927e+01,-1.083006818867424315e+01,8.370535714285713969e-01,2.250000000000000000e+02,1.150000000000000000e+02,1.255580357142857206e+00,4.433333333333333144e+02,4.077853465843137997e+02,-6.098309788728489833e-01,1.078636555816864684e+00,4.011687605021378999e+01,7.593984962406015171e-01,3.433333333333333126e+00,2.255639097744361055e-01,7.744360902255639223e-01,1.019801980198019820e+00,2.970297029702970715e-01,6.377042156569663611e-02,1.677961726487096072e-01,1.248641553063303355e+01,2.215659227434183975e+00,0.000000000000000000e+00,5.400000000000000355e-01,1.499999999999999944e-01,1.300000000000000044e-01,1.000000000000000021e-02,1.000000000000000000e+00,3.605899736778658132e-02,9.785031819629055883e-02,3.341153236549885150e+02,6.240965067370445318e-01,4.412039462020818092e+00,0.000000000000000000e+00
03-01-02-01-01-02-02,2,1,1,2,2,0,2.488887634277343750e+02,3.230807876586914062e+01,7.695543679736130116e+01,3.233843688964843750e+02,-5.123107358441005488e+01,3.634015182946809830e+01,-7.692690007406536523e+00,1.255580357142857206e+00,1.633333333333333428e+02,1.699673171197594712e+01,1.674107142857142794e+00,3.525000000000000000e+02,4.500208328511025684e+02,-9.935184045937717201e-01,6.671242915450630306e-01,3.920571011538227513e+00,9.495798319327732884e-01,3.576923076923077094e+00,2.184873949579832220e-01,7.815126050420169168e-01,8.230088495575220708e-01,2.300884955752212357e-01,4.272001872658765659e-02,6.151422599691878934e-02,6.236994555979393340e+00,1.123960747547733341e+00,0.000000000000000000e+00,2.899999999999999800e-01,1.199999999999999956e-01,1.000000000000000056e-01,1.000000000000000021e-02,1.250000000000000000e+00,2.511508042708122113e-01,1.996046801034460916e-01,3.579176337491892355e+02,6.424637904360754881e-01,1.924653550715459183e+00,9.118516054151557526e-01
03-01-07-01-01-01-02,7,1,1,1,2,0,2.068009948730468750e+02,3.623697662353515625e+01,8.192905990767199853e+01,2.807955017089843750e+02,-5.333226768130709416e+01,4.037875279729373545e+01,-8.046478503224696155e+00,1.674107142857142794e+00,1.675000000000000000e+02,1.402453207775575095e+02,2.092633928571428381e+00,3.020000000000000000e+02,4.226771817829772431e+02,-2.473208462873288660e+00,2.191155882828090817e+00,1.518432258722774719e+01,1.367346938775510390e+00,7.166666666666666963e+00,1.224489795918367319e-01,8.775510204081632404e-01,6.417910447761193682e-01,8.955223880597014408e-02,2.121320343559642344e-02,1.310572394032469834e-01,7.866411879333608859e+00,2.480494836749159937e+00,4.700000000000000289e-01,4.299999999999999933e-01,5.999999999999999778e-02,7.000000000000000666e-02,1.000000000000000021e-02,1.250000000000000000e+00,-3.967373553129731611e-01,-6.958672916048037616e-01,1.045425777557193641e+02,5.940962513715400961e-01,1.136443267153950387e+00,3.495843287845019631e-01
03-01-02-02-01-01-02,2,2,1,1,2,0,2.406769561767578125e+02,3.775330352783203125e+01,8.334842707800123662e+01,3.162910766601562500e+02,-4.692340745184036166e+01,2.826642687183560909e+01,-6.754663976716585694e+00,1.255580357142857206e+00,1.533333333333333428e+02,4.189935029992178528e+01,1.674107142857142794e+00,4.050000000000000000e+02,4.176421913552316596e+02,-8.201439957281876358e-01,7.796416098288103669e-01,4.868951079120018122e+00,1.505376344086021723e+00,4.470588235294117752e+00,1.827956989247311870e-01,8.172043010752688685e-01,5.428571428571428159e-01,1.214285714285713996e-01,3.399346342395189596e-02,2.999999999999999542e-02,7.613333510957079220e+00,3.142634042775422909e+00,4.200000000000000400e-01,2.200000000000000011e-01,8.999999999999999667e-02,1.400000000000000133e-01,1.000000000000000021e-02,1.333333333333333259e+00,-2.255151737715628824e-01,-6.338909813013458017e-01,1.700625109910114929e+02,5.520538177597035245e-01,6.129401441093591529e+00,6.041402332775192008e-02
03-01-03-02-02-01-02,3,2,2,1,2,0,2.472451171875000000e+02,4.404404067993164062e+01,8.868468164521577535e+01,3.393166809082031250e+02,-4.459418244332258041e+01,2.615341481885983654e+01,-8.697322235397725976e+00,1.255580357142857206e+00,1.366666666666666572e+02,8.013876853447538906e+01,1.674107142857142794e+00,3.000000000000000000e+02,4.057092555020158784e+02,2.046358123840179566e+00,8.868034895298881892e+00,2.117677610095626619e+02,7.709923664122136922e-01,5.894736842105264607e+00,1.450381679389312617e-01,8.549618320610687938e-01,1.108910891089109008e+00,1.881188118811880916e-01,2.399999999999999703e-02,2.045091684986274361e-01,1.111403520009419843e+01,5.405587419227830814e+00,0.000000000000000000e+00,5.999999999999999778e-01,8.000000000000000167e-02,5.999999999999999778e-02,1.000000000000000021e-02,1.000000000000000000e+00,5.424233143745182256e-02,2.073319562258033044e-01,6.489074991734736386e+02,6.477053140768332939e-01,9.104871573999048451e+00,7.445824883813422446e+00
03-01-08-01-02-01-02,8,1,2,1,2,0,2.183518676757812500e+02,5.649767684936523438e+01,9.830655481879485080e+01,3.482529602050781250e+02,-4.990466796316436415e+01,3.410497078784317893e+01,-9.348496480629485461e+00,1.255580357142857206e+00,2.400000000000000000e+02,1.883259585576737720e+02,1.674107142857142794e+00,3.550000000000000000e+02,3.853894134508626621e+02,2.163574584835665338e+00,6.323680186684052629e+00,1.723855834673985612e+02,1.156862745098039102e+00,5.799999999999999822e+00,1.470588235294117974e-01,8.529411764705883137e-01,7.372881355932204839e-01,1.271186440677966323e-01,2.097617696340303359e-02,7.320063751999250634e-02,1.102524345765662162e+01,2.162628951635929386e+00,4.299999999999999933e-01,2.500000000000000000e-01,7.000000000000000666e-02,5.000000000000000278e-02,1.000000000000000021e-02,1.199999999999999956e+00,-5.084779118538468312e-01,-6.438885548833994665e-01,1.112138124620286277e+02,4.718325572458088590e-01,3.230406574981033341e+00,9.524398245803719076e-01
03-01-01-01-02-02-02,1,1,2,2,2,0,2.189396972656250000e+02,3.230471420288085938e+01,7.695183079567453888e+01,2.900686950683593750e+02,-4.949953858349535096e+01,3.703968476765215456e+01,-8.503807623294633800e+00,1.674107142857142794e+00,2.350000000000000000e+02,1.924188140489385717e+02,2.092633928571428381e+00,2.540000000000000000e+02,3.803472097965225771e+02,2.452327075543208501e+00,9.536095842385984511e+00,1.325714044856462976e+02,7.709923664122136922e-01,5.238095238095238138e+00,1.603053435114503988e-01,8.396946564885496844e-01,1.089108910891089188e+00,2.079207920792079389e-01,3.709447398198281731e-02,1.782133552795636955e-01,1.039674483166509589e+01,3.702125379881911371e+00,0.000000000000000000e+00,5.400000000000000355e-01,1.100000000000000006e-01,7.000000000000000666e-02,1.000000000000000021e-02,1.000000000000000000e+00,-3.382657326967312139e-01,-8.855113453017071645e-01,1.926121629156189385e+02,5.924853094937414522e-01,5.874296316008860153e+00,8.498465457595694161e-01
03-01-08-01-02-02-02,8,1,2,2,2,0,2.345561218261718750e+02,5.546189880371093750e+01,9.766588594526135125e+01,3.452888793945312500e+02,-4.548902080710733742e+01,3.294086554803172362e+01,-9.293849591315293424e+00,1.255580357142857206e+00,2.700000000000000000e+02,1.925270543759153554e+02,1.674107142857142794e+00,3.150000000000000000e+02,4.043204174908806294e+02,7.820750541190203409e-01,5.817416043766712619e+00,3.923096586090218807e+02,7.829457364341084746e-01,3.777777777777777679e+00,2.093023255813953598e-01,7.906976744186046124e-01,1.009900990099009910e+00,2.673267326732673421e-01,4.758150901348127959e-02,1.512667599079891290e-01,1.048412195527764368e+01,4.737390451214266385e+00,0.000000000000000000e+00,5.100000000000000089e-01,1.400000000000000133e-01,2.000000000000000042e-02,1.000000000000000021e-02,1.399999999999999911e+00,-2.383172155894776878e-01,-5.645008507467815795e-01,2.980304184516891155e+02,6.296228992869328245e-01,3.723152914626767451e+00,2.982922745990137070e+00
03-01-04-02-01-01-02,4,2,1,1,2,0,2.751849670410156250e+02,2.839462089538574219e+01,7.248478131648489864e+01,3.442195434570312500e+02,-5.624023731395816839e+01,3.467110688581898614e+01,-7.967257027460794561e+00,1.255580357142857206e+00,1.300000000000000000e+02,8.164965809277260789e+00,1.674107142857142794e+00,3.550000000000000000e+02,4.718315377335432004e+02,2.484217253680339077e+00,2.957866152452076403e+00,1.350992118154736943e+02,1.353535353535353369e+00,6.071428571428570287e+00,1.414141414141414366e-01,8.585858585858585634e-01,6.343283582089552786e-01,1.044776119402985315e-01,2.624669291337270588e-02,2.229770167528483116e-01,9.801369624670668301e+00,3.620710720557947848e+00,4.999999999999999445e-01,5.899999999999999689e-01,7.000000000000000666e-02,1.000000000000000021e-02,1.000000000000000021e-02,1.333333333333333259e+00,8.211071555841704950e-02,2.659124419173189424e-01,6.982469374646924507e+02,6.303853717480677465e-01,6.179663091732642499e+00,2.042929019276474634e+00
03-01-03-01-01-01-02,3,1,1,1,2,0,2.366697540283203125e+02,4.045251083374023438e+01,8.573945975349002424e+01,3.255967712402343750e+02,-4.680072925776980242e+01,2.717794764158684018e+01,-8.834390144718435423e+00,1.674107142857142794e+00,2.050000000000000000e+02,1.602342035896206482e+02,2.092633928571428381e+00,2.680000000000000000e+02,4.029094191006211645e+02,-4.788548922994531054e-01,1.009584873195843446e+00,3.727010212633904729e+01,8.560000000000000941e-01,7.333333333333333037e+00,1.200000000000000233e-01,8.800000000000001155e-01,1.028037383177570208e+00,1.401869158878504829e-01,1.920286436967151913e-02,2.071714266012569527e-01,7.376283250874597464e+00,8.115666082474289666e+00,0.000000000000000000e+00,6.199999999999999956e-01,5.999999999999999778e-02,2.999999999999999889e-02,1.000000000000000021e-02,1.250000000000000000e+00,6.977940656365802519e-02,4.004390695798330513e-01,6.989643747595097238e+02,6.817490741029884616e-01,9.861068616491564853e+00,7.256878113239451977e+00
03-01-07-01-02-01-02,7,1,2,1,2,0,2.100680389404296875e+02,2.512284851074218750e+01,6.824595893867862628e+01,2.518790283203125000e+02,-5.155759134738814708e+01,4.099253949577424549e+01,-8.835291039588200945e+00,8.370535714285713969e-01,1.700000000000000000e+02,8.000000000000000000e+01,1.255580357142857206e+00,4.566666666666666856e+02,4.552166761249221736e+02,-4.920903329951241689e-01,6.835556501038426713e-01,5.091285010631668939e+01,1.363636363636363757e+00,9.800000000000000000e+01,1.010101010101010187e-02,9.898989898989899450e-01,7.259259259259258634e-01,7.407407407407406823e-03,0.000000000000000000e+00,9.999999999999997780e-02,4.078700326963284439e+00,1.062098572528939577e+00,4.450000000000000622e-01,5.899999999999999689e-01,1.000000000000000021e-02,3.900000000000000133e-01,1.000000000000000021e-02,2.000000000000000000e+00,-4.707660973589871123e-01,-1.000000000000000000e+00,5.394900190093059678e+01,6.388412846610052043e-01,2.124197145057879155e+00,0.000000000000000000e+00
03-01-06-01-01-01-02,6,1,1,1,2,0,2.876788024902343750e+02,5.738157272338867188e+01,9.884405796139797928e+01,3.475769042968750000e+02,-4.503393139519472754e+01,3.082971467598657966e+01,-8.952780492186841244e+00,1.674107142857142794e+00,1.775000000000000000e+02,1.243734296383275080e+02,2.092633928571428381e+00,2.720000000000000000e+02,4.107748775180876919e+02,2.977842345162364346e+00,5.985429144857773665e+00,3.698218691523480288e+02,8.861788617886179331e-01,5.473684210526315930e+00,1.544715447154471621e-01,8.455284552845528934e-01,9.541284403669724190e-01,1.743119266055045691e-01,3.655133376499412889e-02,1.014692071517265815e-01,4.775300004749135852e+00,2.673039407232104647e+00,0.000000000000000000e+00,4.000000000000000222e-01,1.100000000000000006e-01,1.300000000000000044e-01,1.000000000000000021e-02,1.000000000000000000e+00,3.823591959785366812e-01,7.227064042952330292e-01,6.982518790370471606e+02,7.277952422072930805e-01,2.372809393360179264e+00,1.042587095265829156e+00
03-01-04-01-01-02-02,4,1,1,2,2,0,2.374211730957031250e+02,3.172437667846679688e+01,7.632416135247542854e+01,3.188599548339843750e+02,-5.285736429272650838e+01,3.405298749248903079e+01,-9.244488860487328097e+00,1.674107142857142794e+00,2.100000000000000000e+02,1.238951169336386755e+02,2.092633928571428381e+00,2.740000000000000000e+02,4.295392880750258087e+02,-1.561458703762634403e+00,7.974060065799635222e-01,1.789719323912922633e+01,9.416666666666667629e-01,4.454545454545454142e+00,1.833333333333333759e-01,8.166666666666666519e-01,8.672566371681414976e-01,1.946902654867256610e-01,4.555216789572150149e-02,2.296192500641006939e-01,6.179047700291722123e+00,2.363779552043543397e+00,0.000000000000000000e+00,6.400000000000000133e-01,1.300000000000000044e-01,7.000000000000000666e-02,1.000000000000000021e-02,1.000000000000000000e+00,-1.722493575137521160e-01,-3.641745360522550823e-01,2.953974647268539115e+02,6.339950224662436185e-01,4.346006565169325597e+00,1.401099853069748491e+00
